,age,sex,cp,trtbps,chol,fbs,restecg,thalachh,exng,oldpeak,slp,caa,thall,output
age,1.0,-0.09844660247479446,-0.06865301584014476,0.2793509065612869,0.21367795655956073,0.12130764809337492,-0.11621089815852959,-0.39852193812106634,0.09680082645526758,0.2100125673586739,-0.16881423801209577,0.2763262440191393,0.06800137705465188,-0.22543871587483738
sex,-0.09844660247479446,1.0,-0.049352875346989275,-0.05676882396964349,-0.19791217414110715,0.045031789193560316,-0.058196267703754516,-0.04401990776957453,0.14166381099150557,0.09609287706773878,-0.030710567303172422,0.11826141332035993,0.21004109563720721,-0.2809365755017667
cp,-0.06865301584014476,-0.049352875346989275,1.0,0.047607760644648875,-0.07690439103320748,0.0944440349953315,0.04442059251016372,0.29576212458791,-0.3942802684950217,-0.1492301580970808,0.11971658853470624,-0.18105302605349516,-0.16173557051002224,0.43379826150689416
trtbps,0.2793509065612869,-0.05676882396964349,0.047607760644648875,1.0,0.12317420653239013,0.1775305419344599,-0.11410278639186996,-0.04669772814795327,0.06761611953876354,0.19321647240953618,-0.12147458192644978,0.10138898530055117,0.06220988763086137,-0.14493112849775125
chol,0.21367795655956073,-0.19791217414110715,-0.07690439103320748,0.12317420653239013,1.0,0.013293602251671392,-0.15104007833751215,-0.00993983864269735,0.06702278257394244,0.05395191998699356,-0.004037770369683536,0.07051092522607576,0.09880299250014493,-0.08523910513756877
fbs,0.12130764809337492,0.045031789193560316,0.0944440349953315,0.1775305419344599,0.013293602251671392,1.0,-0.08418905443102674,-0.008567107343486606,0.025665147202126128,0.0057472234596442915,-0.05989417829041806,0.1379793270278515,-0.03201933931349753,-0.0280457602727128
restecg,-0.11621089815852959,-0.058196267703754516,0.04442059251016372,-0.11410278639186996,-0.15104007833751215,-0.08418905443102674,1.0,0.04412344408543674,-0.0707328558723664,-0.05877022631983696,0.09304482097448206,-0.0720424332469299,-0.011981404599806395,0.13722950287377295
thalachh,-0.39852193812106634,-0.04401990776957453,0.29576212458791,-0.04669772814795327,-0.00993983864269735,-0.008567107343486606,0.04412344408543674,1.0,-0.3788120938514868,-0.3441869479667157,0.3867844098148194,-0.2131769281153897,-0.09643913165982115,0.4217409338106746
exng,0.09680082645526758,0.14166381099150557,-0.3942802684950217,0.06761611953876354,0.06702278257394244,0.025665147202126128,-0.0707328558723664,-0.3788120938514868,1.0,0.28822280778276527,-0.25774836853016636,0.11573937807050609,0.20675378773953743,-0.4367570833533029
oldpeak,0.2100125673586739,0.09609287706773878,-0.1492301580970808,0.19321647240953618,0.05395191998699356,0.0057472234596442915,-0.05877022631983696,-0.3441869479667157,0.28822280778276527,1.0,-0.5775368167291405,0.22268232182782366,0.21024412598264858,-0.4306960016873685
slp,-0.16881423801209577,-0.030710567303172422,0.11971658853470624,-0.12147458192644978,-0.004037770369683536,-0.05989417829041806,0.09304482097448206,0.3867844098148194,-0.25774836853016636,-0.5775368167291405,1.0,-0.08015521021463978,-0.10476379462149539,0.3458770782417251
caa,0.2763262440191393,0.11826141332035993,-0.18105302605349516,0.10138898530055117,0.07051092522607576,0.1379793270278515,-0.0720424332469299,-0.2131769281153897,0.11573937807050609,0.22268232182782366,-0.08015521021463978,1.0,0.1518321254820894,-0.39172399235125294
thall,0.06800137705465188,0.21004109563720721,-0.16173557051002224,0.06220988763086137,0.09880299250014493,-0.03201933931349753,-0.011981404599806395,-0.09643913165982115,0.20675378773953743,0.21024412598264858,-0.10476379462149539,0.1518321254820894,1.0,-0.3440292680383101
output,-0.22543871587483738,-0.2809365755017667,0.43379826150689416,-0.14493112849775125,-0.08523910513756877,-0.0280457602727128,0.13722950287377295,0.4217409338106746,-0.4367570833533029,-0.4306960016873685,0.3458770782417251,-0.39172399235125294,-0.3440292680383101,1.0
